#  gamma_0, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, 
# 
2.777540000000000120e+01 9.969219999999999970e+01 5.161930000000000263e+01 4.685450000000000337e+00 5.935540000000000260e-01 3.058969999999999967e+00 9.728270000000000550e+01 1.578990000000000009e+03 1.309900000000000064e+00 3.367430000000000145e-01 4.217050000000000409e+00 1.000350000000000072e+01
2.589450000000000074e+01 9.862380000000000280e+01 5.162570000000000192e+01 3.785829999999999806e+00 5.949499999999999789e-01 3.047060000000000102e+00 9.195390000000000441e+01 1.752380000000000109e+03 5.799109999999999765e+00 3.883989999999999942e-01 4.437820000000000320e+00 1.046710000000000029e+01
7.091059999999999697e+00 9.821840000000000259e+01 5.165250000000000341e+01 1.923019999999999952e+00 6.025279999999999525e-01 3.015680000000000138e+00 9.735880000000000223e+01 2.154639999999999873e+03 1.837800000000000100e+00 3.494539999999999869e-01 4.771250000000000213e+00 9.640510000000000801e+00
3.060630000000000095e+01 9.985169999999999391e+01 5.161959999999999837e+01 6.201640000000000263e+00 6.026019999999999710e-01 3.053589999999999804e+00 8.884409999999999741e+01 1.594829999999999927e+03 3.855290000000000106e+00 3.731760000000000077e-01 4.361200000000000188e+00 9.665499999999999758e+00
3.039780000000000015e+01 9.896790000000000020e+01 5.163210000000000122e+01 3.408900000000000041e+00 5.884279999999999511e-01 3.014019999999999921e+00 8.961820000000000164e+01 1.643609999999999900e+03 1.703540000000000054e+00 3.942169999999999841e-01 4.366889999999999716e+00 9.237249999999999517e+00
1.560079999999999956e+01 9.985769999999999413e+01 5.163139999999999930e+01 5.768080000000000318e+00 5.957679999999999643e-01 3.027390000000000025e+00 9.776649999999999352e+01 1.935019999999999982e+03 3.945400000000000018e-01 3.473950000000000093e-01 4.630840000000000067e+00 9.280260000000000176e+00
2.807679999999999865e+01 9.953820000000000334e+01 5.160960000000000036e+01 4.831010000000000026e+00 5.851399999999999935e-01 3.013580000000000148e+00 9.242950000000000443e+01 1.607470000000000027e+03 4.533319999999999794e+00 3.637770000000000170e-01 4.303460000000000285e+00 9.126939999999999387e+00
3.465469999999999828e+01 9.985179999999999723e+01 5.161119999999999663e+01 1.744790000000000063e+00 6.157519999999999660e-01 3.000830000000000108e+00 8.803369999999999607e+01 1.470210000000000036e+03 1.408400000000000096e+00 3.507899999999999907e-01 4.182680000000000398e+00 1.066140000000000043e+01
4.025610000000000355e+01 9.845709999999999695e+01 5.161469999999999914e+01 3.352440000000000087e+00 5.863890000000000491e-01 2.986369999999999969e+00 8.890359999999999729e+01 1.320380000000000109e+03 5.578380000000000116e+00 3.704029999999999823e-01 3.941399999999999793e+00 1.046240000000000059e+01
3.985929999999999751e+01 9.759560000000000457e+01 5.161549999999999727e+01 1.670840000000000103e+00 5.860459999999999559e-01 3.042159999999999975e+00 8.984470000000000312e+01 1.385759999999999991e+03 3.405229999999999979e+00 3.569490000000000163e-01 3.986920000000000019e+00 9.785360000000000724e+00
1.352800000000000047e+01 9.936209999999999809e+01 5.163139999999999930e+01 5.772339999999999804e+00 6.075490000000000057e-01 3.037080000000000002e+00 9.997690000000000055e+01 2.007829999999999927e+03 3.131900000000000239e-01 3.449309999999999876e-01 4.543709999999999916e+00 9.575390000000000512e+00
3.233959999999999724e+01 9.957259999999999422e+01 5.160399999999999920e+01 3.872250000000000192e+00 6.123079999999999634e-01 3.013119999999999798e+00 8.934709999999999752e+01 1.774119999999999891e+03 4.561120000000000174e-01 4.831259999999999999e-01 4.439890000000000114e+00 9.584229999999999805e+00
3.573199999999999932e+01 9.819559999999999889e+01 5.163340000000000174e+01 4.814659999999999940e+00 5.810110000000000552e-01 3.030940000000000190e+00 8.859229999999999450e+01 1.647359999999999900e+03 4.301239999999999952e+00 4.600330000000000252e-01 4.243850000000000122e+00 1.135490000000000066e+01
3.665370000000000061e+01 9.895740000000000691e+01 5.158679999999999666e+01 5.262889999999999624e+00 6.117350000000000287e-01 3.043509999999999938e+00 9.435819999999999652e+01 1.368849999999999909e+03 4.311410000000000409e+00 3.501960000000000073e-01 4.007740000000000080e+00 1.114639999999999986e+01
2.893909999999999982e+01 9.918909999999999627e+01 5.162550000000000239e+01 3.070359999999999978e+00 5.890220000000000455e-01 3.059410000000000185e+00 9.213209999999999411e+01 1.512910000000000082e+03 1.975319999999999965e+00 2.591899999999999760e-01 4.355260000000000353e+00 9.528119999999999479e+00
2.917849999999999966e+01 9.891009999999999991e+01 5.162610000000000099e+01 6.268239999999999590e+00 6.030910000000000437e-01 3.027870000000000061e+00 9.341280000000000427e+01 1.510450000000000045e+03 4.381059999999999732e+00 3.309699999999999864e-01 4.175069999999999837e+00 1.016050000000000075e+01
