#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
4.690789999999999793e+01 6.913139999999999930e+01 9.702129999999999654e+02 1.392589999999999995e+00 4.176750000000000185e-01 3.361180000000000057e+00 5.999629999999999797e+01
4.486630000000000251e+01 7.529179999999999495e+01 9.078379999999999654e+02 2.939309999999999867e+00 5.350540000000000296e-01 3.468700000000000117e+00 6.780379999999999541e+01
4.600809999999999889e+01 7.121670000000000300e+01 5.298079999999999927e+02 1.609180000000000055e+00 1.906809999999999894e-01 3.164359999999999840e+00 5.674240000000000350e+01
4.486630000000000251e+01 7.529179999999999495e+01 9.078379999999999654e+02 2.939309999999999867e+00 5.350540000000000296e-01 3.468700000000000117e+00 6.780379999999999541e+01
5.074139999999999873e+01 9.448309999999999320e+01 9.943029999999999973e+02 3.374779999999999891e+00 6.597290000000000099e-01 2.932869999999999866e+00 5.761119999999999663e+01
2.869500000000000028e+01 6.963039999999999452e+01 4.917740000000000009e+02 2.276159999999999961e+00 3.099729999999999847e-02 1.354700000000000015e+00 6.398769999999999669e+01
4.410260000000000247e+01 7.718000000000000682e+01 9.341960000000000264e+02 4.849619999999999820e+00 2.577389999999999959e-01 3.000750000000000028e+00 5.775030000000000285e+01
4.177799999999999869e+01 7.275799999999999557e+01 9.338609999999999900e+02 4.308309999999999640e+00 3.172490000000000032e-01 4.057570000000000121e+00 5.535549999999999926e+01
4.194060000000000343e+01 7.077700000000000102e+01 9.795470000000000255e+02 1.688830000000000053e+00 3.408229999999999871e-01 3.776060000000000194e+00 6.185179999999999723e+01
4.757699999999999818e+01 7.278230000000000643e+01 9.669400000000000546e+02 4.271930000000000227e+00 4.651060000000000194e-01 3.273460000000000036e+00 5.225150000000000006e+01
5.000509999999999877e+01 7.081359999999999388e+01 9.454149999999999636e+02 5.243929999999999758e+00 5.145870000000000166e-01 4.050930000000000142e+00 5.997820000000000107e+01
5.352279999999999660e+01 6.935949999999999704e+01 9.857050000000000409e+02 2.971960000000000157e-01 1.660000000000000087e-01 3.016469999999999985e+00 5.696289999999999765e+01
4.833740000000000236e+01 8.451380000000000337e+01 5.084270000000000209e+02 3.624899999999999789e+00 3.235219999999999763e-01 2.500239999999999796e+00 5.973389999999999844e+01
2.962059999999999960e+01 9.822069999999999368e+01 5.349790000000000418e+02 1.972420000000000007e-01 4.257830000000000226e-01 2.925689999999999902e+00 6.362810000000000343e+01
4.177799999999999869e+01 7.275799999999999557e+01 9.338609999999999900e+02 4.308309999999999640e+00 3.172490000000000032e-01 4.057570000000000121e+00 5.535549999999999926e+01
3.678949999999999676e+01 7.732460000000000377e+01 4.997459999999999809e+02 5.102800000000000225e+00 4.524869999999999726e-01 1.671669999999999989e+00 5.578790000000000049e+01
5.332289999999999708e+01 8.872440000000000282e+01 9.860099999999999909e+02 4.293000000000000149e+00 5.903279999999999639e-01 4.230789999999999829e+00 6.185860000000000269e+01
4.936679999999999779e+01 9.160399999999999920e+01 9.290960000000000036e+02 1.507039999999999935e+00 6.845139999999999558e-01 3.882080000000000197e+00 5.104359999999999786e+01
