#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
-4.620620000000000260e+01 9.915529999999999688e+01 3.745000000000000000e+02 1.340000000000000080e+00 3.087509999999999977e-01 1.286429999999999962e+00 9.572530000000000427e+00
-5.532429999999999737e+00 9.324890000000000612e+01 1.897350000000000136e+02 6.864190000000000014e-01 2.953870000000000107e-01 4.259520000000000195e+00 2.624089999999999989e+01
-3.241519999999999868e+01 9.932630000000000337e+01 3.740520000000000209e+02 1.094680000000000097e+00 3.677730000000000166e-01 1.588780000000000081e+00 7.857569999999999943e+00
-4.692170000000000130e+01 9.232899999999999352e+01 3.866560000000000059e+02 2.241620000000000168e+00 3.438200000000000145e-01 9.489579999999999682e-01 1.497530000000000072e+01
-1.176249999999999929e+01 8.505649999999999977e+01 1.928619999999999948e+02 1.039349999999999996e+00 2.349870000000000014e-01 4.654899999999999594e+00 1.548099999999999987e+01
-7.744270000000000209e+00 9.787009999999999366e+01 1.894730000000000132e+02 1.302810000000000024e+00 3.186350000000000016e-01 3.690300000000000136e+00 1.228420000000000023e+01
-1.286139999999999972e+01 9.971040000000000703e+01 1.906440000000000055e+02 1.710110000000000019e+00 3.405520000000000214e-01 3.505399999999999849e+00 1.253309999999999924e+01
-5.707110000000000127e+01 9.837569999999999482e+01 3.824850000000000136e+02 1.987389999999999990e+00 3.212510000000000088e-01 9.013630000000000253e-01 5.503800000000000026e+00
-4.919789999999999708e+01 9.755230000000000246e+01 3.783249999999999886e+02 1.666150000000000020e+00 2.763630000000000253e-01 1.130940000000000056e+00 1.044289999999999985e+01
-1.294609999999999950e+01 8.336759999999999593e+01 1.879859999999999900e+02 1.170570000000000110e+00 3.367280000000000273e-01 3.409190000000000165e+00 2.085150000000000148e+01
-3.330449999999999733e+01 9.169670000000000698e+01 3.727069999999999936e+02 1.067839999999999900e+00 3.821120000000000072e-01 1.566070000000000073e+00 1.037550000000000061e+01
1.230419999999999980e+01 9.652559999999999718e+01 1.864679999999999893e+02 7.520299999999999763e-01 3.706880000000000175e-01 3.781499999999999861e+00 1.432249999999999979e+01
-4.544150000000000134e+00 9.753619999999999379e+01 1.881560000000000059e+02 1.059719999999999995e+00 2.190950000000000120e-01 3.509479999999999933e+00 1.066649999999999920e+01
-4.751529999999999809e+00 9.452100000000000080e+01 1.913120000000000118e+02 1.883559999999999901e+00 3.320690000000000031e-01 3.573539999999999939e+00 1.386490000000000045e+01
-1.046599999999999930e+01 9.658620000000000516e+01 1.884770000000000039e+02 1.524520000000000097e+00 3.057710000000000150e-01 3.180190000000000072e+00 8.116669999999999163e+00
-5.259239999999999782e+01 9.593380000000000507e+01 3.822509999999999764e+02 2.183559999999999945e+00 2.530839999999999756e-01 7.553940000000000099e-01 1.629629999999999868e+01
-8.594099999999999184e+00 9.181069999999999709e+01 1.930279999999999916e+02 2.573399999999999910e+00 8.433759999999999868e-02 2.837190000000000101e+00 2.943629999999999924e+01
-3.496200000000000330e+01 8.794670000000000698e+01 3.820749999999999886e+02 1.607750000000000012e+00 3.746169999999999778e-01 1.589730000000000087e+00 7.327300000000000146e+00
-5.246840000000000259e+01 8.937059999999999604e+01 3.830500000000000114e+02 2.187320000000000153e+00 2.927980000000000027e-01 7.081159999999999677e-01 2.761919999999999931e+01
4.435489999999999711e+00 9.624660000000000082e+01 1.863990000000000009e+02 8.697219999999999951e-01 3.618419999999999970e-01 3.525539999999999896e+00 7.851919999999999789e+00
-5.624329999999999785e+01 9.691649999999999920e+01 3.865849999999999795e+02 2.444679999999999964e+00 3.759739999999999749e-01 5.237579999999999458e-01 1.225750000000000028e+01
-9.884389999999999787e+00 9.899970000000000425e+01 1.910140000000000100e+02 1.305590000000000028e+00 1.432269999999999932e-01 3.911599999999999966e+00 1.947670000000000101e+01
-2.273219999999999796e+00 9.456789999999999452e+01 1.869569999999999936e+02 8.622330000000000272e-01 4.004099999999999882e-01 3.598399999999999821e+00 1.684349999999999881e+01
-8.570619999999999905e+00 9.544700000000000273e+01 1.891670000000000016e+02 1.404619999999999980e+00 2.448740000000000083e-01 3.512729999999999908e+00 5.492799999999999905e+00
-5.816989999999999839e+01 9.731220000000000425e+01 3.868100000000000023e+02 2.245680000000000121e+00 3.314730000000000176e-01 8.386770000000000058e-01 7.899020000000000152e+00
-4.727929999999999922e+01 9.517650000000000432e+01 3.765649999999999977e+02 1.623390000000000111e+00 2.834729999999999750e-01 1.066459999999999964e+00 1.395529999999999937e+01
-5.620729999999999649e+01 9.527160000000000650e+01 3.844379999999999882e+02 2.013450000000000184e+00 2.477090000000000125e-01 9.964520000000000044e-01 1.443410000000000082e+01
-3.578710000000000058e+00 9.467260000000000275e+01 1.895540000000000020e+02 1.466539999999999955e+00 3.139140000000000263e-01 3.473009999999999931e+00 2.518390000000000128e+00
-2.956749999999999989e+00 9.130610000000000070e+01 1.867520000000000095e+02 9.040019999999999722e-01 3.962899999999999756e-01 3.472049999999999859e+00 1.357729999999999926e+01
-1.261050000000000004e+01 9.651529999999999632e+01 1.908449999999999989e+02 1.910009999999999986e+00 2.808620000000000005e-01 3.251679999999999904e+00 5.800389999999999713e-02
-4.257260000000000133e+01 9.872039999999999793e+01 3.744320000000000164e+02 1.453179999999999916e+00 3.027799999999999936e-01 1.067399999999999904e+00 9.145609999999999573e+00
-1.304739999999999966e+01 9.957429999999999382e+01 1.918710000000000093e+02 2.085249999999999826e+00 2.459469999999999990e-01 3.309810000000000141e+00 1.417859999999999943e+01
