#  gamma_0, gamma_1, gamma_2, gamma_3, K_0, T_0, phi_0, ecc_0, omega_0, K_1, T_1, phi_1, ecc_1, omega_1, sigma_0, sigma_1, sigma_2, sigma_3, 
# 
-5.653829999999999956e+01 4.887739999999999974e+00 3.813300000000000182e+03 3.821000000000000000e+03 9.961039999999999850e+01 2.453139999999999873e+03 5.368269999999999875e+00 3.981270000000000087e-01 4.789649999999999963e+00 9.974120000000000630e+01 5.164939999999999998e+01 2.991089999999999804e+00 6.086080000000000378e-01 3.073900000000000077e+00 7.703789999999999694e+00 9.911849999999999383e+00 6.834789999999999921e+00 1.126060000000000016e+01
-5.185390000000000299e+01 8.909259999999999735e+00 3.813010000000000218e+03 3.819179999999999836e+03 9.963909999999999911e+01 2.490260000000000218e+03 4.804509999999999614e+00 4.504909999999999748e-01 4.724610000000000198e+00 9.993460000000000321e+01 5.163960000000000150e+01 2.677410000000000068e+00 5.967829999999999524e-01 3.015719999999999956e+00 5.488030000000000186e+00 9.952439999999999287e+00 1.470909999999999940e+01 1.203529999999999944e+01
-5.442159999999999798e+01 6.159469999999999779e+00 3.816480000000000018e+03 3.814559999999999945e+03 9.959439999999999316e+01 2.386389999999999873e+03 5.526819999999999844e+00 4.083410000000000095e-01 4.758539999999999992e+00 9.953470000000000084e+01 5.163700000000000045e+01 3.910799999999999832e-01 6.036230000000000206e-01 3.075400000000000134e+00 6.390930000000000000e+00 9.017459999999999809e+00 1.670929999999999893e+01 1.084149999999999991e+01
-5.409120000000000061e+01 4.061309999999999754e+00 3.811710000000000036e+03 3.823960000000000036e+03 9.980370000000000630e+01 2.470590000000000146e+03 5.775710000000000122e+00 4.259249999999999980e-01 4.761350000000000193e+00 9.939060000000000628e+01 5.165140000000000242e+01 1.651280000000000081e+00 5.973600000000000021e-01 3.064900000000000180e+00 4.825400000000000134e+00 1.225730000000000075e+01 9.381280000000000285e+00 1.433590000000000053e+01
-5.103820000000000334e+01 4.895959999999999646e+00 3.814610000000000127e+03 3.820110000000000127e+03 9.943059999999999832e+01 2.477900000000000091e+03 5.354519999999999946e+00 4.418409999999999838e-01 4.736489999999999867e+00 9.881029999999999802e+01 5.163479999999999848e+01 6.103139999999999787e+00 5.973490000000000189e-01 3.061329999999999885e+00 4.571530000000000094e+00 8.518230000000000857e+00 1.281969999999999921e+01 7.346000000000000085e+00
-5.313159999999999883e+01 4.939499999999999780e+00 3.817329999999999927e+03 3.817429999999999836e+03 9.988389999999999702e+01 5.164309999999999690e+01 3.909310000000000063e+00 5.979130000000000278e-01 3.061589999999999812e+00 9.895449999999999591e+01 2.453340000000000146e+03 5.885539999999999772e+00 4.138310000000000044e-01 4.773189999999999600e+00 5.499679999999999680e+00 1.052289999999999992e+01 1.298820000000000086e+01 1.222940000000000005e+01
-4.987149999999999750e+01 9.229119999999999990e+00 3.810349999999999909e+03 3.823739999999999782e+03 9.967629999999999768e+01 2.506010000000000218e+03 6.071089999999999876e+00 4.656899999999999928e-01 4.650260000000000282e+00 9.987930000000000064e+01 5.164260000000000161e+01 1.437310000000000088e+00 6.059539999999999926e-01 3.037069999999999936e+00 2.719349999999999934e+00 8.298249999999999460e+00 1.651160000000000139e+01 1.098150000000000048e+01
-5.358489999999999753e+01 5.119119999999999671e+00 3.811260000000000218e+03 3.822480000000000018e+03 9.986719999999999686e+01 5.164710000000000178e+01 1.834489999999999954e+00 6.122429999999999817e-01 3.047730000000000050e+00 9.947339999999999804e+01 2.460900000000000091e+03 3.115019999999999942e-02 4.212199999999999833e-01 4.795130000000000337e+00 5.580169999999999852e+00 9.151450000000000529e+00 6.482370000000000410e+00 1.153490000000000038e+01
-5.628079999999999927e+01 2.604579999999999895e+00 3.812949999999999818e+03 3.818030000000000200e+03 9.959180000000000632e+01 2.424110000000000127e+03 5.481449999999999712e+00 3.930830000000000157e-01 4.825330000000000119e+00 9.994299999999999784e+01 5.164050000000000296e+01 1.529230000000000089e+00 6.159729999999999928e-01 3.064760000000000151e+00 4.130049999999999777e+00 9.793490000000000251e+00 9.935230000000000672e+00 1.274859999999999971e+01
-4.951080000000000325e+01 5.014929999999999666e+00 3.814570000000000164e+03 3.819139999999999873e+03 9.995220000000000482e+01 5.164569999999999794e+01 4.766059999999999741e-01 6.185279999999999667e-01 3.036259999999999959e+00 9.960750000000000171e+01 2.451900000000000091e+03 2.236159999999999926e+00 4.322079999999999811e-01 4.715309999999999668e+00 2.751999999999999780e+00 1.054499999999999993e+01 1.153650000000000020e+01 1.256300000000000061e+01
-5.277720000000000056e+01 6.923199999999999577e+00 3.812000000000000000e+03 3.820889999999999873e+03 9.965630000000000166e+01 5.163389999999999702e+01 1.035050000000000026e+00 6.026070000000000038e-01 3.030590000000000117e+00 9.940479999999999450e+01 2.448039999999999964e+03 4.864580000000000126e+00 4.281220000000000026e-01 4.741789999999999949e+00 4.723939999999999806e+00 9.667590000000000572e+00 1.433539999999999992e+01 1.272550000000000026e+01
-5.261990000000000123e+01 5.376039999999999708e+00 3.813900000000000091e+03 3.825059999999999945e+03 9.999609999999999843e+01 2.473019999999999982e+03 5.694009999999999572e+00 4.344680000000000208e-01 4.691749999999999865e+00 9.991219999999999857e+01 5.163510000000000133e+01 1.536329999999999973e+00 6.134990000000000165e-01 3.028789999999999871e+00 1.888449999999999962e+00 9.653660000000000352e+00 1.083019999999999960e+01 1.443979999999999997e+01
-5.286200000000000188e+01 6.952860000000000262e+00 3.813349999999999909e+03 3.820780000000000200e+03 9.954389999999999361e+01 5.164710000000000178e+01 1.872069999999999901e+00 6.002520000000000078e-01 3.040620000000000100e+00 9.914950000000000330e+01 2.458409999999999854e+03 1.130070000000000033e-02 4.175449999999999995e-01 4.707290000000000418e+00 4.928569999999999673e+00 1.059779999999999944e+01 9.713739999999999597e+00 9.960900000000000531e+00
-5.289979999999999905e+01 5.201819999999999666e+00 3.815360000000000127e+03 3.822289999999999964e+03 9.923600000000000421e+01 2.475400000000000091e+03 5.358200000000000074e+00 4.269310000000000049e-01 4.750049999999999883e+00 9.979420000000000357e+01 5.164789999999999992e+01 4.806010000000000004e-01 6.139059999999999517e-01 3.046240000000000059e+00 5.466730000000000089e+00 9.669010000000000105e+00 7.846879999999999633e+00 9.801399999999999224e+00
-5.098559999999999803e+01 7.636409999999999698e+00 3.811369999999999891e+03 3.817610000000000127e+03 9.986400000000000432e+01 5.163980000000000103e+01 3.923970000000000180e+00 6.142849999999999699e-01 3.016589999999999883e+00 9.976879999999999882e+01 2.443489999999999782e+03 5.726359999999999673e+00 4.352059999999999818e-01 4.670040000000000191e+00 3.944550000000000001e+00 8.876160000000000494e+00 1.294969999999999999e+01 1.430889999999999951e+01
